"","run","aic","estimate","lower_ci","upper_ci","ground","group"
"129",26,295.148302152701,1859.29620067178,1784.23940054593,1936.827432848,1937,"4"
"130",26,142.428184638971,190.927366613812,166.964476464888,217.540358158969,183,"5"
"131",27,456.64040828728,11869.1293770226,11679.558981174,12061.1244187186,11868,"1"
"132",27,266.79278107674,1074.47830250568,1016.97507519738,1134.53431245879,1005,"2"
"133",27,92.6447655872828,63.1816243384026,47.5301841702876,82.431501465282,60,"3"
"134",27,315.083199522393,1851.27041697451,1777.24755123818,1927.70866989439,1899,"4"
"135",27,138.52554448518,167.540895288985,144.760455308713,193.057227745343,171,"5"
"136",28,462.46978014652,11819.373542821,11629.8809968824,12011.3103148682,11972,"1"
"137",28,256.37667966201,966.338124088481,913.162192710429,1021.91522179102,947,"2"
"138",28,82.0368402884496,84.0553359683794,56.388926988576,120.981012909099,72,"3"
"139",28,311.417266799805,1881.23598127051,1805.65179604516,1959.29900761734,1786,"4"
"140",28,143.557905992708,179.929775558965,156.190997736253,206.397019297645,188,"5"
"141",29,447.007019356016,11894.8621308967,11705.1127400913,12087.035880258,11778,"1"
"142",29,267.013218858735,1053.08664818489,996.570652394399,1112.10904731603,983,"2"
"143",29,86.909896697595,57.668254459144,42.5268323504013,76.4969523937097,70,"3"
"144",29,311.336980941855,1827.78130652081,1754.3570565197,1903.61014140403,1798,"4"
"145",29,137.55084925419,187.550281510802,163.35015396993,214.484214305282,206,"5"
"146",30,457.878585960878,11820.6031054742,11631.8709133137,12011.7480656294,11904,"1"
"147",30,242.202965342577,1074.09225301891,1016.50047955813,1134.23601872342,983,"2"
"148",30,79.5718613146574,112.651162790661,61.0790669943954,192.568561385585,69,"3"
"149",30,302.163307126549,1870.35584516764,1795.46927120927,1947.68520598235,1902,"4"
"150",30,146.27177581664,187.447986362195,163.668374338754,213.848300565912,162,"5"
"151",31,464.717223820711,11931.9933524519,11739.9254950673,12126.5585430099,12033,"1"
"152",31,246.826384932694,969.261697314463,913.889367775813,1027.22925190443,1024,"2"
"153",31,85.1218157672758,69.8690516558364,53.587277161798,89.8036741684164,55,"3"
"154",31,319.392263185291,1913.92636597854,1836.68722416116,1993.72561382203,1891,"4"
"155",31,123.989640634942,179.338369236445,154.51249515381,207.116473230634,175,"5"
"156",32,464.767023392915,12076.3487272171,11884.7702764327,12270.3650852283,11696,"1"
"157",32,255.724607813801,992.751440158911,938.424816689554,1049.52185246563,963,"2"
"158",32,81.5248016793855,93.5735294117647,55.0531525170666,149.661679722476,52,"3"
"159",32,291.663873207866,1729.16579080299,1610.26863769842,1854.26425297842,1855,"4"
"160",32,147.351774978609,209.63444814351,184.043476392247,237.985559761187,162,"5"
"161",33,460.906255257285,11851.3311894155,11661.7378789051,12043.3520024583,11927,"1"
"162",33,270.185957987198,1009.38746585668,954.570237361935,1066.66330096201,963,"2"
"163",33,83.3365307555046,57.9696358631573,44.1542535270625,74.9501846938474,46,"3"
"164",33,307.308802329729,1930.91664823446,1854.17375646894,2010.1476808498,1843,"4"
"165",33,140.383403960735,172.715829869814,148.529092530563,199.828185318253,177,"5"
"166",34,463.333674426415,11978.7338341017,11788.0665604714,12171.8340168081,11976,"1"
"167",34,241.603556407323,1010.28194087398,954.984638367758,1068.07259523499,1007,"2"
"168",34,83.1685561909583,61.0911363963765,46.653872170945,78.8277881991628,60,"3"
"169",34,296.556403166048,1824.86929014155,1748.40426827914,1903.92858163506,1868,"4"
"170",34,137.983191590121,177.157435059997,153.476092366388,203.583479851154,196,"5"
"171",35,441.913317642241,12401.4645473429,12079.3937302416,12729.7596110571,11921,"1"
"172",35,268.302868485152,1038.13871256448,982.080405128077,1096.70377599757,1022,"2"
"173",35,78.8568514642321,81.7680315550133,63.9079446023643,103.330731887545,69,"3"
"174",35,293.264817632242,1865.01433501765,1789.89998124427,1942.58702114772,1955,"4"
"175",35,132.890015082442,177.636632796123,153.929005587614,204.088526344023,180,"5"
"176",36,457.673148317567,12068.7885443784,11843.9808226567,12296.8899791648,11888,"1"
"177",36,254.997208027729,1003.01873918861,948.352450764228,1060.13672342971,981,"2"
