iteration,aic,estimate,lower_ci,upper_ci,ground,group,corr,obf,pct_diff
2,581.8708053,491.4536851,461.2944294,523.3583906,454,Hispanic,TRUE,TRUE,-8.249710377
2,460.2420632,62.89981407,55.30331437,71.39250003,48,Other,TRUE,TRUE,-31.0412793
2,715.5766914,3958.419585,3869.165231,4049.495629,3982,White,TRUE,TRUE,0.592175151
2,421.3934693,13.64816956,10.83553814,17.08286477,13,1_10,TRUE,TRUE,-4.985919692
2,503.5099812,135.4717308,123.0791204,148.9631614,133,11_20,TRUE,TRUE,-1.858444173
2,650.2071096,1307.034395,1257.809269,1357.969938,1348,21_30,TRUE,TRUE,3.038991501
2,648.3057342,1346.952809,1296.600344,1399.041451,1326,31_40,TRUE,TRUE,-1.580151515
2,620.3131328,941.0630607,899.3327229,984.5112133,941,41_50,TRUE,TRUE,-0.006701453
2,605.1413469,735.7215187,700.1396045,772.9089716,773,51_60,TRUE,TRUE,4.822571967
2,552.4987103,218.3387033,201.1985642,236.781519,235,61_70,TRUE,TRUE,7.089913507
2,460.249434,80.58681238,72.3046586,89.68380466,62,71_80,TRUE,TRUE,-29.97872965
2,406.9768819,33.66242903,28.49945641,39.63819091,28,81_90,TRUE,TRUE,-20.22296082
2,138,1,0.490232282,1.943313425,1,91_100,TRUE,TRUE,0
2,727.0423305,4826.479518,4727.538393,4927.253161,4723,base,TRUE,TRUE,-2.190970112
3,414.4602469,35181.98525,34545.91699,35829.2307,35014,Female,FALSE,FALSE,-0.47976596
3,452.9489143,53160.70772,52377.14228,53955.46023,53610,Male,FALSE,FALSE,0.838075516
3,180.0448591,526.8730541,458.0328276,605.4407629,593,Asian/PI,FALSE,FALSE,11.15125563
3,298.3140696,4686.610993,4459.456545,4924.782702,4795,Black,FALSE,FALSE,2.260458961
3,351.3053992,8495.461808,8117.314672,8889.88311,8731,Hispanic,FALSE,FALSE,2.697722963
3,199.4683947,1025.04152,921.1177278,1140.118437,1034,Other,FALSE,FALSE,0.866390697
3,468.5019201,72809.68668,71896.08571,73734.36341,72959,White,FALSE,FALSE,0.204653744
3,138.5198101,255.1011998,205.8567285,315.4873701,263,1_10,FALSE,FALSE,3.003346091
3,251.3695573,2478.778597,2313.722842,2655.069323,2426,11_20,FALSE,FALSE,-2.175539869
3,409.863611,24003.43511,23483.16578,24534.68647,24276,21_30,FALSE,FALSE,1.122775125
3,404.1845919,24213.76504,23684.81881,24753.99392,24159,31_40,FALSE,FALSE,-0.226685876
3,371.5302735,17531.63137,17080.82938,17993.80405,17355,41_50,FALSE,FALSE,-1.017754923
3,345.4266441,13629.90982,13236.05098,14034.93699,13702,51_60,FALSE,FALSE,0.526128896
3,296.1432776,4424.029565,4202.688145,4656.45858,4453,61_70,FALSE,FALSE,0.650582427
3,217.3034959,1117.713907,1001.750544,1246.432181,1109,71_80,FALSE,FALSE,-0.785744586
3,165.2693475,541.684944,459.552249,638.0902786,472,81_90,FALSE,FALSE,-14.76375932
