"Run","Model","Formula","AIC","Estimate","LowerCI","UpperCI","GroundTruth","Group","Method"
5,"Forward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",492.758294939995,159445.549490908,157276.340408991,161646.305781389,159402,"base","NB"
5,"Forward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",492.758294939995,159445.549490908,157276.340408991,161646.305781389,159402,"base","NB"
5,"Backward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",492.758294939995,159445.549490908,157276.340408991,161646.305781389,159402,"base","NB"
5,"Backward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",492.758294939995,159445.549490908,157276.340408991,161646.305781389,159402,"base","NB"
5,"Both-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",492.758294939995,159445.549490908,157276.340408991,161646.305781389,159402,"base","NB"
5,"Both-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",492.758294939995,159445.549490908,157276.340408991,161646.305781389,159402,"base","NB"
5,"Forward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",490.747070143098,159445.547923233,157277.645384697,161644.960968172,159402,"base","Poisson"
5,"Forward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",490.747070143098,159445.547923233,157277.645384697,161644.960968172,159402,"base","Poisson"
5,"Backward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",490.747070143098,159445.547923233,157277.645384697,161644.960968172,159402,"base","Poisson"
5,"Backward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",490.747070143098,159445.547923233,157277.645384697,161644.960968172,159402,"base","Poisson"
5,"Both-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",490.747070143098,159445.547923233,157277.645384697,161644.960968172,159402,"base","Poisson"
5,"Both-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",490.747070143098,159445.547923233,157277.645384697,161644.960968172,159402,"base","Poisson"
6,"Forward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_1:capture_2",494.605047613382,160654.72145115,158387.17700998,162956.649825207,159884,"base","NB"
6,"Forward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_1:capture_2",494.605047613382,160654.72145115,158387.17700998,162956.649825207,159884,"base","NB"
6,"Backward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",497.289493203163,161291.012378199,159086.387015398,163527.903518578,159884,"base","NB"
6,"Backward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",497.289493203163,161291.012378199,159086.387015398,163527.903518578,159884,"base","NB"
6,"Both-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_1:capture_2",494.605047613382,160654.72145115,158387.17700998,162956.649825207,159884,"base","NB"
6,"Both-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_1:capture_2",494.605047613382,160654.72145115,158387.17700998,162956.649825207,159884,"base","NB"
6,"Forward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_1:capture_2",492.58751504159,160654.79805114,158389.120543896,162954.805400685,159884,"base","Poisson"
6,"Forward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_1:capture_2",492.58751504159,160654.79805114,158389.120543896,162954.805400685,159884,"base","Poisson"
6,"Backward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",495.273117101439,161290.966096207,159088.32083167,163525.820613574,159884,"base","Poisson"
6,"Backward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",495.273117101439,161290.966096207,159088.32083167,163525.820613574,159884,"base","Poisson"
6,"Both-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_1:capture_2",492.58751504159,160654.79805114,158389.120543896,162954.805400685,159884,"base","Poisson"
6,"Both-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6 + capture_1:capture_2",492.58751504159,160654.79805114,158389.120543896,162954.805400685,159884,"base","Poisson"
7,"Forward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",499.851258605719,160078.062116948,157893.769119134,162294.239992491,159781,"base","NB"
7,"Forward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",499.851258605719,160078.062116948,157893.769119134,162294.239992491,159781,"base","NB"
7,"Backward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",499.851258605719,160078.062116948,157893.769119134,162294.239992491,159781,"base","NB"
7,"Backward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",499.851258605719,160078.062116948,157893.769119134,162294.239992491,159781,"base","NB"
7,"Both-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",499.851258605719,160078.062116948,157893.769119134,162294.239992491,159781,"base","NB"
7,"Both-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",499.851258605719,160078.062116948,157893.769119134,162294.239992491,159781,"base","NB"
7,"Forward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",497.837362001163,160077.799158913,157895.746895749,162291.672134068,159781,"base","Poisson"
7,"Forward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",497.837362001163,160077.799158913,157895.746895749,162291.672134068,159781,"base","Poisson"
7,"Backward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",497.837362001163,160077.799158913,157895.746895749,162291.672134068,159781,"base","Poisson"
7,"Backward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",497.837362001163,160077.799158913,157895.746895749,162291.672134068,159781,"base","Poisson"
7,"Both-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",497.837362001163,160077.799158913,157895.746895749,162291.672134068,159781,"base","Poisson"
7,"Both-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",497.837362001163,160077.799158913,157895.746895749,162291.672134068,159781,"base","Poisson"
8,"Forward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",494.381186977029,158810.228202761,156646.494721346,161005.470169693,159707,"base","NB"
8,"Forward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",494.381186977029,158810.228202761,156646.494721346,161005.470169693,159707,"base","NB"
8,"Backward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",494.381186977029,158810.228202761,156646.494721346,161005.470169693,159707,"base","NB"
8,"Backward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",494.381186977029,158810.228202761,156646.494721346,161005.470169693,159707,"base","NB"
8,"Both-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",494.381186977029,158810.228202761,156646.494721346,161005.470169693,159707,"base","NB"
8,"Both-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",494.381186977029,158810.228202761,156646.494721346,161005.470169693,159707,"base","NB"
8,"Forward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",492.377019261628,158810.306608363,156649.423302757,161002.616215393,159707,"base","Poisson"
8,"Forward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",492.377019261628,158810.306608363,156649.423302757,161002.616215393,159707,"base","Poisson"
8,"Backward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",492.377019261628,158810.306608363,156649.423302757,161002.616215393,159707,"base","Poisson"
8,"Backward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",492.377019261628,158810.306608363,156649.423302757,161002.616215393,159707,"base","Poisson"
8,"Both-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",492.377019261628,158810.306608363,156649.423302757,161002.616215393,159707,"base","Poisson"
8,"Both-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",492.377019261628,158810.306608363,156649.423302757,161002.616215393,159707,"base","Poisson"
9,"Forward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",483.338260799646,160475.938618768,158291.70893078,162691.966422826,159237,"base","NB"
9,"Forward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",483.338260799646,160475.938618768,158291.70893078,162691.966422826,159237,"base","NB"
9,"Backward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",483.338260799646,160475.938618768,158291.70893078,162691.966422826,159237,"base","NB"
9,"Backward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",483.338260799646,160475.938618768,158291.70893078,162691.966422826,159237,"base","NB"
9,"Both-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",483.338260799646,160475.938618768,158291.70893078,162691.966422826,159237,"base","NB"
9,"Both-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",483.338260799646,160475.938618768,158291.70893078,162691.966422826,159237,"base","NB"
9,"Forward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",481.324156470353,160475.598283438,158292.883095512,162690.068888025,159237,"base","Poisson"
9,"Forward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",481.324156470353,160475.598283438,158292.883095512,162690.068888025,159237,"base","Poisson"
9,"Backward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",481.324156470353,160475.598283438,158292.883095512,162690.068888025,159237,"base","Poisson"
9,"Backward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",481.324156470353,160475.598283438,158292.883095512,162690.068888025,159237,"base","Poisson"
9,"Both-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",481.324156470353,160475.598283438,158292.883095512,162690.068888025,159237,"base","Poisson"
9,"Both-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",481.324156470353,160475.598283438,158292.883095512,162690.068888025,159237,"base","Poisson"
10,"Forward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",495.326775938272,159005.881382745,156841.284559686,161201.972534169,159530,"base","NB"
10,"Forward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",495.326775938272,159005.881382745,156841.284559686,161201.972534169,159530,"base","NB"
10,"Backward-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",495.326775938272,159005.881382745,156841.284559686,161201.972534169,159530,"base","NB"
10,"Backward-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",495.326775938272,159005.881382745,156841.284559686,161201.972534169,159530,"base","NB"
10,"Both-0.05","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",495.326775938272,159005.881382745,156841.284559686,161201.972534169,159530,"base","NB"
10,"Both-0.1","capture_1 + capture_2 + capture_3 + capture_4 + capture_5 + capture_6",495.326775938272,159005.881382745,156841.284559686,161201.972534169,159530,"base","NB"
