fod,year,month,final_re,N_ID
0,2019,9,1,932
0,2019,9,2,103
0,2019,9,3,-1
0,2019,9,4,187
0,2019,9,5,-1
0,2019,10,1,971
0,2019,10,2,105
0,2019,10,3,-1
0,2019,10,4,176
0,2019,10,5,12
0,2019,11,1,871
0,2019,11,2,109
0,2019,11,3,-1
0,2019,11,4,177
0,2019,11,5,17
0,2019,12,1,903
0,2019,12,2,100
0,2019,12,3,-1
0,2019,12,4,179
0,2019,12,5,17
0,2020,1,1,874
0,2020,1,2,78
0,2020,1,3,-1
0,2020,1,4,164
0,2020,1,5,13
0,2020,2,1,831
0,2020,2,2,100
0,2020,2,3,-1
0,2020,2,4,171
0,2020,2,5,16
0,2020,3,1,820
0,2020,3,2,113
0,2020,3,4,148
0,2020,3,5,11
0,2020,4,1,803
0,2020,4,2,94
0,2020,4,3,-1
0,2020,4,4,133
0,2020,4,5,-1
0,2020,5,1,997
0,2020,5,2,142
0,2020,5,3,-1
0,2020,5,4,199
0,2020,5,5,15
0,2020,6,1,953
0,2020,6,2,135
0,2020,6,3,-1
0,2020,6,4,192
0,2020,6,5,11
0,2020,7,1,1001
0,2020,7,2,129
0,2020,7,3,-1
0,2020,7,4,184
0,2020,7,5,15
0,2020,8,1,938
0,2020,8,2,118
0,2020,8,3,-1
0,2020,8,4,203
0,2020,8,5,11
0,2020,9,1,804
0,2020,9,2,131
0,2020,9,3,-1
0,2020,9,4,163
0,2020,9,5,17
0,2020,10,1,755
0,2020,10,2,109
0,2020,10,3,-1
0,2020,10,4,143
0,2020,10,5,15
0,2020,11,1,746
0,2020,11,2,85
0,2020,11,3,-1
0,2020,11,4,122
0,2020,11,5,-1
0,2020,12,1,738
0,2020,12,2,98
0,2020,12,3,-1
0,2020,12,4,119
0,2020,12,5,-1
0,2021,1,1,748
0,2021,1,2,83
0,2021,1,3,-1
0,2021,1,4,150
0,2021,1,5,-1
0,2021,2,1,725
0,2021,2,2,95
0,2021,2,3,-1
0,2021,2,4,125
0,2021,2,5,-1
0,2021,3,1,851
0,2021,3,2,99
0,2021,3,3,-1
0,2021,3,4,157
0,2021,3,5,17
0,2021,4,1,805
0,2021,4,2,91
0,2021,4,3,-1
0,2021,4,4,175
0,2021,4,5,15
0,2021,5,1,785
0,2021,5,2,130
0,2021,5,3,-1
0,2021,5,4,198
0,2021,5,5,-1
0,2021,6,1,815
0,2021,6,2,121
0,2021,6,3,11
0,2021,6,4,168
0,2021,6,5,-1
0,2021,7,1,886
0,2021,7,2,147
0,2021,7,3,-1
0,2021,7,4,188
0,2021,7,5,15
0,2021,8,1,903
0,2021,8,2,142
0,2021,8,3,12
0,2021,8,4,157
0,2021,8,5,19
0,2021,9,1,859
0,2021,9,2,146
0,2021,9,3,-1
0,2021,9,4,180
0,2021,9,5,-1
0,2021,10,1,819
0,2021,10,2,118
0,2021,10,3,11
0,2021,10,4,189
0,2021,10,5,-1
0,2021,11,1,789
0,2021,11,2,119
0,2021,11,3,-1
0,2021,11,4,146
0,2021,11,5,14
0,2021,12,1,792
0,2021,12,2,123
0,2021,12,3,-1
0,2021,12,4,165
0,2021,12,5,13
1,2013,1,1,69
1,2013,1,2,-1
1,2013,1,4,-1
1,2013,2,1,49
1,2013,2,2,-1
1,2013,2,4,-1
1,2013,3,1,72
1,2013,3,2,-1
1,2013,3,4,-1
1,2013,3,5,-1
1,2013,4,1,60
1,2013,4,2,-1
1,2013,4,4,-1
1,2013,4,5,-1
1,2013,5,1,61
1,2013,5,2,-1
1,2013,5,4,-1
1,2013,5,5,-1
1,2013,6,1,72
1,2013,6,2,-1
1,2013,6,4,-1
1,2013,7,1,68
1,2013,7,2,-1
1,2013,7,3,-1
1,2013,7,4,-1
1,2013,7,5,-1
1,2013,8,1,78
1,2013,8,2,-1
1,2013,8,4,-1
1,2013,9,1,64
1,2013,9,2,-1
1,2013,9,3,-1
1,2013,9,4,-1
1,2013,10,1,65
1,2013,10,2,-1
1,2013,10,4,-1
1,2013,11,1,84
1,2013,11,2,-1
1,2013,11,4,-1
1,2013,12,1,77
1,2013,12,2,-1
1,2013,12,4,-1
1,2013,12,5,-1
1,2014,1,1,96
1,2014,1,2,-1
1,2014,1,3,-1
1,2014,1,4,-1
1,2014,2,1,111
1,2014,2,3,-1
1,2014,2,4,-1
1,2014,2,5,-1
1,2014,3,1,85
1,2014,3,2,-1
1,2014,3,4,-1
1,2014,3,5,-1
1,2014,4,1,71
1,2014,4,2,-1
1,2014,4,4,-1
1,2014,4,5,-1
1,2014,5,1,85
1,2014,5,2,-1
1,2014,5,4,-1
1,2014,5,5,-1
1,2014,6,1,87
1,2014,6,2,-1
1,2014,6,3,-1
1,2014,6,4,-1
1,2014,7,1,68
1,2014,7,2,-1
1,2014,7,3,-1
1,2014,7,4,14
1,2014,8,1,91
1,2014,8,2,-1
1,2014,8,4,12
1,2014,9,1,93
1,2014,9,2,-1
1,2014,9,4,-1
1,2014,10,1,97
1,2014,10,2,-1
1,2014,10,4,-1
1,2014,10,5,-1
1,2014,11,1,98
1,2014,11,2,-1
1,2014,11,4,11
1,2014,12,1,147
1,2014,12,2,-1
1,2014,12,3,-1
1,2014,12,4,23
1,2014,12,5,-1
1,2015,1,1,137
1,2015,1,2,-1
1,2015,1,4,-1
1,2015,2,1,125
1,2015,2,2,-1
1,2015,2,4,14
1,2015,2,5,-1
1,2015,3,1,141
1,2015,3,2,13
1,2015,3,4,-1
1,2015,3,5,-1
1,2015,4,1,118
1,2015,4,2,-1
1,2015,4,4,11
1,2015,4,5,-1
1,2015,5,1,120
1,2015,5,2,-1
1,2015,5,4,-1
1,2015,5,5,-1
1,2015,6,1,105
1,2015,6,2,-1
1,2015,6,4,-1
1,2015,6,5,-1
1,2015,7,1,102
1,2015,7,2,-1
1,2015,7,3,-1
1,2015,7,4,13
1,2015,7,5,-1
1,2015,8,1,109
1,2015,8,2,-1
1,2015,8,4,16
1,2015,9,1,130
1,2015,9,2,-1
1,2015,9,4,18
1,2015,9,5,-1
1,2015,10,1,139
1,2015,10,2,-1
1,2015,10,3,-1
1,2015,10,4,13
1,2015,11,1,124
1,2015,11,2,-1
1,2015,11,4,-1
1,2015,11,5,-1
1,2015,12,1,88
1,2015,12,2,-1
1,2015,12,3,-1
1,2015,12,4,17
1,2015,12,5,-1
1,2016,1,1,119
1,2016,1,2,-1
1,2016,1,4,23
1,2016,1,5,-1
1,2016,2,1,138
1,2016,2,2,-1
1,2016,2,3,-1
1,2016,2,4,20
1,2016,2,5,-1
1,2016,3,1,134
1,2016,3,2,-1
1,2016,3,3,-1
1,2016,3,4,19
1,2016,3,5,-1
1,2016,4,1,149
1,2016,4,2,-1
1,2016,4,4,18
1,2016,4,5,-1
1,2016,5,1,142
1,2016,5,2,-1
1,2016,5,4,17
1,2016,5,5,-1
1,2016,6,1,132
1,2016,6,2,-1
1,2016,6,4,18
1,2016,6,5,-1
1,2016,7,1,144
1,2016,7,2,-1
1,2016,7,3,-1
1,2016,7,4,16
1,2016,7,5,-1
1,2016,8,1,135
1,2016,8,2,-1
1,2016,8,3,-1
1,2016,8,4,11
1,2016,8,5,-1
1,2016,9,1,148
1,2016,9,2,-1
1,2016,9,3,-1
1,2016,9,4,33
