Casemix,APCD,BSAS,PMP,Matris,Death,year,N_ID
1,0,0,1,1,1,2018,-1
1,0,0,1,1,1,2019,-1
1,0,0,1,1,1,2020,-1
1,0,0,1,1,1,2021,-1
1,0,1,0,0,0,2015,146
1,0,1,0,0,0,2016,107
1,0,1,0,0,0,2017,79
1,0,1,0,0,0,2018,84
1,0,1,0,0,0,2019,43
1,0,1,0,0,0,2020,29
1,0,1,0,0,0,2021,20
1,0,1,0,0,1,2015,-1
1,0,1,0,0,1,2016,-1
1,0,1,0,0,1,2019,-1
1,0,1,0,1,0,2015,72
1,0,1,0,1,0,2016,63
1,0,1,0,1,0,2017,82
1,0,1,0,1,0,2018,82
1,0,1,0,1,0,2019,62
1,0,1,0,1,0,2020,26
1,0,1,0,1,0,2021,22
1,0,1,0,1,1,2015,-1
1,0,1,0,1,1,2016,-1
1,0,1,0,1,1,2017,-1
1,0,1,0,1,1,2018,-1
1,0,1,0,1,1,2019,-1
1,0,1,0,1,1,2020,-1
1,0,1,0,1,1,2021,-1
1,0,1,1,0,0,2015,11
1,0,1,1,0,0,2016,29
1,0,1,1,0,0,2017,22
1,0,1,1,0,0,2018,18
1,0,1,1,0,0,2019,15
1,0,1,1,0,0,2020,16
1,0,1,1,0,0,2021,-1
1,0,1,1,1,0,2015,-1
1,0,1,1,1,0,2016,16
1,0,1,1,1,0,2017,23
1,0,1,1,1,0,2018,25
1,0,1,1,1,0,2019,14
1,0,1,1,1,0,2020,17
1,0,1,1,1,0,2021,11
1,0,1,1,1,1,2018,-1
1,0,1,1,1,1,2019,-1
1,0,1,1,1,1,2020,-1
1,1,0,0,0,0,2015,1900
1,1,0,0,0,0,2016,2193
1,1,0,0,0,0,2017,1578
1,1,0,0,0,0,2018,1207
1,1,0,0,0,0,2019,1185
1,1,0,0,0,0,2020,972
1,1,0,0,0,0,2021,898
1,1,0,0,0,1,2015,33
1,1,0,0,0,1,2016,45
1,1,0,0,0,1,2017,37
1,1,0,0,0,1,2018,26
1,1,0,0,0,1,2019,24
1,1,0,0,0,1,2020,11
1,1,0,0,0,1,2021,22
1,1,0,0,1,0,2015,1496
1,1,0,0,1,0,2016,1801
1,1,0,0,1,0,2017,1956
1,1,0,0,1,0,2018,1777
1,1,0,0,1,0,2019,1676
1,1,0,0,1,0,2020,1698
1,1,0,0,1,0,2021,1523
1,1,0,0,1,1,2015,72
1,1,0,0,1,1,2016,119
1,1,0,0,1,1,2017,127
1,1,0,0,1,1,2018,86
1,1,0,0,1,1,2019,79
1,1,0,0,1,1,2020,84
1,1,0,0,1,1,2021,66
1,1,0,1,0,0,2015,626
1,1,0,1,0,0,2016,782
1,1,0,1,0,0,2017,539
1,1,0,1,0,0,2018,553
1,1,0,1,0,0,2019,559
1,1,0,1,0,0,2020,489
1,1,0,1,0,0,2021,431
1,1,0,1,0,1,2015,-1
1,1,0,1,0,1,2016,-1
1,1,0,1,0,1,2017,11
1,1,0,1,0,1,2018,-1
1,1,0,1,0,1,2019,-1
1,1,0,1,0,1,2020,-1
1,1,0,1,0,1,2021,11
1,1,0,1,1,0,2015,453
1,1,0,1,1,0,2016,584
1,1,0,1,1,0,2017,662
1,1,0,1,1,0,2018,674
1,1,0,1,1,0,2019,749
1,1,0,1,1,0,2020,694
1,1,0,1,1,0,2021,562
1,1,0,1,1,1,2015,11
1,1,0,1,1,1,2016,27
1,1,0,1,1,1,2017,25
1,1,0,1,1,1,2018,26
1,1,0,1,1,1,2019,24
1,1,0,1,1,1,2020,30
1,1,0,1,1,1,2021,31
1,1,1,0,0,0,2015,2078
1,1,1,0,0,0,2016,2030
1,1,1,0,0,0,2017,1419
1,1,1,0,0,0,2018,1095
1,1,1,0,0,0,2019,832
1,1,1,0,0,0,2020,638
1,1,1,0,0,0,2021,600
1,1,1,0,0,1,2015,27
1,1,1,0,0,1,2016,31
1,1,1,0,0,1,2017,13
1,1,1,0,0,1,2018,13
1,1,1,0,0,1,2019,13
1,1,1,0,0,1,2020,-1
1,1,1,0,0,1,2021,-1
1,1,1,0,1,0,2015,1596
1,1,1,0,1,0,2016,1819
1,1,1,0,1,0,2017,1937
1,1,1,0,1,0,2018,1705
1,1,1,0,1,0,2019,1354
1,1,1,0,1,0,2020,1050
1,1,1,0,1,0,2021,911
1,1,1,0,1,1,2015,59
1,1,1,0,1,1,2016,67
1,1,1,0,1,1,2017,51
1,1,1,0,1,1,2018,54
1,1,1,0,1,1,2019,46
1,1,1,0,1,1,2020,29
1,1,1,0,1,1,2021,23
1,1,1,1,0,0,2015,1132
1,1,1,1,0,0,2016,1271
1,1,1,1,0,0,2017,1041
1,1,1,1,0,0,2018,1127
1,1,1,1,0,0,2019,1141
1,1,1,1,0,0,2020,866
1,1,1,1,0,0,2021,665
1,1,1,1,0,1,2015,12
1,1,1,1,0,1,2016,11
1,1,1,1,0,1,2017,-1
1,1,1,1,0,1,2018,-1
1,1,1,1,0,1,2019,13
1,1,1,1,0,1,2020,-1
1,1,1,1,0,1,2021,-1
1,1,1,1,1,0,2015,851
1,1,1,1,1,0,2016,1178
1,1,1,1,1,0,2017,1569
1,1,1,1,1,0,2018,1564
1,1,1,1,1,0,2019,1852
1,1,1,1,1,0,2020,1462
1,1,1,1,1,0,2021,1096
1,1,1,1,1,1,2015,14
1,1,1,1,1,1,2016,27
1,1,1,1,1,1,2017,31
1,1,1,1,1,1,2018,30
1,1,1,1,1,1,2019,27
1,1,1,1,1,1,2020,27
1,1,1,1,1,1,2021,21
